municipio;ano;mes;internacoes
URUGUAIANA;2021;2;0
URUGUAIANA;2021;3;0
URUGUAIANA;2021;4;0
URUGUAIANA;2021;5;0
URUGUAIANA;2021;6;0
URUGUAIANA;2021;7;0
URUGUAIANA;2021;8;0
URUGUAIANA;2021;9;0
URUGUAIANA;2021;10;0
URUGUAIANA;2021;11;0
URUGUAIANA;2021;12;0
URUGUAIANA;2022;1;0
URUGUAIANA;2022;2;0
URUGUAIANA;2022;3;1
URUGUAIANA;2022;4;1
URUGUAIANA;2022;5;0
URUGUAIANA;2022;6;0
URUGUAIANA;2022;7;0
URUGUAIANA;2022;8;0
URUGUAIANA;2022;9;0
URUGUAIANA;2022;10;0
URUGUAIANA;2022;11;0
URUGUAIANA;2022;12;0
URUGUAIANA;2023;1;0
URUGUAIANA;2023;2;0
URUGUAIANA;2023;3;0
URUGUAIANA;2023;4;0
URUGUAIANA;2023;5;0
URUGUAIANA;2023;6;0
URUGUAIANA;2023;7;0
URUGUAIANA;2023;8;0
URUGUAIANA;2023;9;0
URUGUAIANA;2023;10;0
URUGUAIANA;2023;11;0
URUGUAIANA;2023;12;0
URUGUAIANA;2024;1;0
URUGUAIANA;2024;2;1
URUGUAIANA;2024;3;0
URUGUAIANA;2024;4;0
URUGUAIANA;2024;5;0
URUGUAIANA;2024;6;0
URUGUAIANA;2024;7;0
URUGUAIANA;2024;8;0
URUGUAIANA;2024;9;0
URUGUAIANA;2024;10;0
URUGUAIANA;2024;11;0
URUGUAIANA;2024;12;0
URUGUAIANA;2025;1;0
URUGUAIANA;2025;2;0
URUGUAIANA;2025;3;1
URUGUAIANA;2025;4;0
URUGUAIANA;2025;5;0
URUGUAIANA;2025;6;0
URUGUAIANA;2025;7;0
URUGUAIANA;2025;8;0
URUGUAIANA;2025;9;0
URUGUAIANA;2025;10;0
URUGUAIANA;2025;11;0
URUGUAIANA;2025;12;0
VACARIA;2015;1;0
VACARIA;2015;2;0
VACARIA;2015;3;1
VACARIA;2015;4;0
VACARIA;2015;5;0
VACARIA;2015;6;0
VACARIA;2015;7;0
VACARIA;2015;8;0
VACARIA;2015;9;0
VACARIA;2015;10;0
VACARIA;2015;11;0
VACARIA;2015;12;0
VACARIA;2016;1;0
VACARIA;2016;2;1
VACARIA;2016;3;0
VACARIA;2016;4;0
VACARIA;2016;5;0
VACARIA;2016;6;0
VACARIA;2016;7;0
VACARIA;2016;8;0
VACARIA;2016;9;0
VACARIA;2016;10;0
VACARIA;2016;11;0
VACARIA;2016;12;0
VACARIA;2017;1;0
VACARIA;2017;2;0
VACARIA;2017;3;0
VACARIA;2017;4;0
VACARIA;2017;5;0
VACARIA;2017;6;0
VACARIA;2017;7;0
VACARIA;2017;8;0
VACARIA;2017;9;0
VACARIA;2017;10;0
VACARIA;2017;11;0
VACARIA;2017;12;0
VACARIA;2018;1;0
VACARIA;2018;2;0
VACARIA;2018;3;0
VACARIA;2018;4;0
VACARIA;2018;5;0
VACARIA;2018;6;0
VACARIA;2018;7;0
VACARIA;2018;8;0
VACARIA;2018;9;0
VACARIA;2018;10;0
VACARIA;2018;11;0
VACARIA;2018;12;0
VACARIA;2019;1;0
VACARIA;2019;2;0
VACARIA;2019;3;0
VACARIA;2019;4;0
VACARIA;2019;5;0
VACARIA;2019;6;0
VACARIA;2019;7;0
VACARIA;2019;8;0
VACARIA;2019;9;0
VACARIA;2019;10;1
VACARIA;2019;11;0
VACARIA;2019;12;0
VACARIA;2020;1;0
VACARIA;2020;2;0
VACARIA;2020;3;0
VACARIA;2020;4;0
VACARIA;2020;5;0
VACARIA;2020;6;0
VACARIA;2020;7;0
VACARIA;2020;8;0
VACARIA;2020;9;0
VACARIA;2020;10;0
VACARIA;2020;11;0
VACARIA;2020;12;0
VACARIA;2021;1;0
VACARIA;2021;2;0
VACARIA;2021;3;0
VACARIA;2021;4;0
VACARIA;2021;5;0
VACARIA;2021;6;0
VACARIA;2021;7;0
VACARIA;2021;8;0
VACARIA;2021;9;0
VACARIA;2021;10;0
VACARIA;2021;11;1
VACARIA;2021;12;0
VACARIA;2022;1;0
VACARIA;2022;2;0
VACARIA;2022;3;0
VACARIA;2022;4;0
VACARIA;2022;5;0
VACARIA;2022;6;0
VACARIA;2022;7;0
VACARIA;2022;8;0
VACARIA;2022;9;0
VACARIA;2022;10;0
VACARIA;2022;11;0
VACARIA;2022;12;0
VACARIA;2023;1;0
VACARIA;2023;2;0
VACARIA;2023;3;0
VACARIA;2023;4;0
VACARIA;2023;5;0
VACARIA;2023;6;0
VACARIA;2023;7;0
VACARIA;2023;8;0
VACARIA;2023;9;0
VACARIA;2023;10;1
VACARIA;2023;11;0
VACARIA;2023;12;1
VACARIA;2024;1;0
VACARIA;2024;2;0
VACARIA;2024;3;0
VACARIA;2024;4;1
VACARIA;2024;5;0
VACARIA;2024;6;0
VACARIA;2024;7;0
VACARIA;2024;8;0
VACARIA;2024;9;0
VACARIA;2024;10;1
VACARIA;2024;11;0
VACARIA;2024;12;0
VACARIA;2025;1;0
VACARIA;2025;2;1
VACARIA;2025;3;0
VACARIA;2025;4;0
VACARIA;2025;5;0
VACARIA;2025;6;0
VACARIA;2025;7;0
VACARIA;2025;8;0
VACARIA;2025;9;0
VACARIA;2025;10;0
VACARIA;2025;11;0
VACARIA;2025;12;0
